,Unnamed: 0,LocationID,Borough,Zone,service_zone,Address,Latitude,Longitude,New ID
0,0,1,EWR,Newark Airport,EWR,"Newark Airport, EWR",40.735659999999996,-74.17237,1
1,1,2,Queens,Jamaica Bay,Boro Zone,"Jamaica Bay, Queens",40.603993599999995,-73.8354123,2
2,2,3,Bronx,Allerton/Pelham Gardens,Boro Zone,"Allerton/Pelham Gardens, Bronx",40.861725,-73.84214870000001,3
3,3,4,Manhattan,Alphabet City,Yellow Zone,"Alphabet City, Manhattan",40.7251022,-73.97958320000001,4
4,4,5,Staten Island,Arden Heights,Boro Zone,"Arden Heights, Staten Island",40.5576295,-74.1886085,5
5,5,6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,"Arrochar/Fort Wadsworth, Staten Island",40.6027644,-74.06585229999999,6
6,6,7,Queens,Astoria,Boro Zone,"Astoria, Queens",40.772014500000004,-73.9302672,7
7,7,8,Queens,Astoria Park,Boro Zone,"Astoria Park, Queens",40.7788277,-73.92262640000001,8
8,8,9,Queens,Auburndale,Boro Zone,"Auburndale, Queens",40.755628,-73.7947469,8
9,9,10,Queens,Baisley Park,Boro Zone,"Baisley Park, Queens",40.65749,-73.83875,10
10,10,11,Brooklyn,Bath Beach,Boro Zone,"Bath Beach, Brooklyn",40.5963959,-73.9947198,11
11,11,12,Manhattan,Battery Park,Yellow Zone,"Battery Park, Manhattan",40.7029171,-74.0158007,12
12,12,13,Manhattan,Battery Park City,Yellow Zone,"Battery Park City, Manhattan",40.7110166,-74.0169368,13
13,13,14,Brooklyn,Bay Ridge,Boro Zone,"Bay Ridge, Brooklyn",40.6339929,-74.014584,13
14,14,15,Queens,Bay Terrace/Fort Totten,Boro Zone,"Bay Terrace/Fort Totten, Queens",40.65749,-73.83875,15
15,15,16,Queens,Bayside,Boro Zone,"Bayside, Queens",40.768435100000005,-73.77707729999999,11
16,16,17,Brooklyn,Bedford,Boro Zone,"Bedford, Brooklyn",40.7202445,-73.955425,17
17,17,18,Bronx,Bedford Park,Boro Zone,"Bedford Park, Bronx",40.8700999,-73.8856911,18
18,18,19,Queens,Bellerose,Boro Zone,"Bellerose, Queens",40.7442451,-73.7164152,19
19,19,20,Bronx,Belmont,Boro Zone,"Belmont, Bronx",40.855277799999996,-73.88638879999999,20
20,20,21,Brooklyn,Bensonhurst East,Boro Zone,"Bensonhurst East, Brooklyn",41.79677,-71.89729,21
21,21,22,Brooklyn,Bensonhurst West,Boro Zone,"Bensonhurst West, Brooklyn",41.692809999999994,-89.14704,22
22,22,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,"Bloomfield/Emerson Hill, Staten Island",40.60872,-74.09598000000001,23
23,23,24,Manhattan,Bloomingdale,Yellow Zone,"Bloomingdale, Manhattan",40.7958865,-73.967511,24
24,24,25,Brooklyn,Boerum Hill,Boro Zone,"Boerum Hill, Brooklyn",40.6856261,-73.98417059999998,25
25,25,26,Brooklyn,Borough Park,Boro Zone,"Borough Park, Brooklyn",40.633993,-73.99680579999999,26
26,26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,"Breezy Point/Fort Tilden/Riis Beach, Queens",40.65749,-73.83875,15
27,27,28,Queens,Briarwood/Jamaica Hills,Boro Zone,"Briarwood/Jamaica Hills, Queens",40.71341470000001,-73.79941600000001,11
28,28,29,Brooklyn,Brighton Beach,Boro Zone,"Brighton Beach, Brooklyn",40.577883,-73.9595825,29
29,29,30,Queens,Broad Channel,Boro Zone,"Broad Channel, Queens",40.606400799999996,-73.8190187,30
30,30,31,Bronx,Bronx Park,Boro Zone,"Bronx Park, Bronx",40.8586258,-73.875926,3
31,31,32,Bronx,Bronxdale,Boro Zone,"Bronxdale, Bronx",40.8506558,-73.866524,21
32,32,33,Brooklyn,Brooklyn Heights,Boro Zone,"Brooklyn Heights, Brooklyn",40.6960848,-73.9950277,21
33,33,34,Brooklyn,Brooklyn Navy Yard,Boro Zone,"Brooklyn Navy Yard, Brooklyn",40.70341079999999,-73.9699679,26
34,34,35,Brooklyn,Brownsville,Boro Zone,"Brownsville, Brooklyn",40.6609369,-73.920137,26
35,35,36,Brooklyn,Bushwick North,Boro Zone,"Bushwick North, Brooklyn",40.6942696,-73.91874809999999,36
36,36,37,Brooklyn,Bushwick South,Boro Zone,"Bushwick South, Brooklyn",40.68399,-73.99542,37
37,37,38,Queens,Cambria Heights,Boro Zone,"Cambria Heights, Queens",40.6945474,-73.7384652,26
38,38,39,Brooklyn,Canarsie,Boro Zone,"Canarsie, Brooklyn",40.643715,-73.900692,39
39,39,40,Brooklyn,Carroll Gardens,Boro Zone,"Carroll Gardens, Brooklyn",40.6784201,-73.994802,40
40,40,41,Manhattan,Central Harlem,Boro Zone,"Central Harlem, Manhattan",40.799480700000004,-73.9553884,38
41,41,42,Manhattan,Central Harlem North,Boro Zone,"Central Harlem North, Manhattan",40.799480700000004,-73.9553884,25
42,42,43,Manhattan,Central Park,Yellow Zone,"Central Park, Manhattan",40.783846200000006,-73.96457059999999,42
43,43,44,Staten Island,Charleston/Tottenville,Boro Zone,"Charleston/Tottenville, Staten Island",40.51122,-74.24931,25
44,44,45,Manhattan,Chinatown,Yellow Zone,"Chinatown, Manhattan",40.716491299999994,-73.9962503,45
45,45,46,Bronx,City Island,Boro Zone,"City Island, Bronx",40.847456,-73.7864688,13
46,46,47,Bronx,Claremont/Bathgate,Boro Zone,"Claremont/Bathgate, Bronx",40.82732,-73.92357,47
47,47,48,Manhattan,Clinton East,Yellow Zone,"Clinton East, Manhattan",40.783429999999996,-73.96625,48
48,48,49,Brooklyn,Clinton Hill,Boro Zone,"Clinton Hill, Brooklyn",40.6897222,-73.9652777,44
49,49,50,Manhattan,Clinton West,Yellow Zone,"Clinton West, Manhattan",40.783429999999996,-73.96625,26
50,50,51,Bronx,Co-Op City,Boro Zone,"Co-Op City, Bronx",40.8738889,-73.82944429999999,49
51,51,52,Brooklyn,Cobble Hill,Boro Zone,"Cobble Hill, Brooklyn",40.6875,-73.9980555,52
52,52,53,Queens,College Point,Boro Zone,"College Point, Queens",40.7876014,-73.8459681,34
53,53,54,Brooklyn,Columbia Street,Boro Zone,"Columbia Street, Brooklyn",40.691196000000005,-73.99969329999999,54
54,54,55,Brooklyn,Coney Island,Boro Zone,"Coney Island, Brooklyn",40.575789,-73.98514490000001,53
55,55,56,Queens,Corona,Boro Zone,"Corona, Queens",40.7469593,-73.8601455,56
56,56,57,Queens,Corona,Boro Zone,"Corona, Queens",40.7469593,-73.8601455,57
57,57,58,Bronx,Country Club,Boro Zone,"Country Club, Bronx",40.8391667,-73.81972209999999,57
58,58,59,Bronx,Crotona Park,Boro Zone,"Crotona Park, Bronx",40.838901899999996,-73.89386440000001,59
59,59,60,Bronx,Crotona Park East,Boro Zone,"Crotona Park East, Bronx",40.8385506,-73.8883967,60
60,60,61,Brooklyn,Crown Heights North,Boro Zone,"Crown Heights North, Brooklyn",40.667471,-73.9435661,60
61,61,62,Brooklyn,Crown Heights South,Boro Zone,"Crown Heights South, Brooklyn",40.68399,-73.99542,62
62,62,63,Brooklyn,Cypress Hills,Boro Zone,"Cypress Hills, Brooklyn",40.6770477,-73.8912473,38
63,63,64,Queens,Douglaston,Boro Zone,"Douglaston, Queens",40.768713,-73.74707640000001,64
64,64,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,"Downtown Brooklyn/MetroTech, Brooklyn",40.693925799999995,-73.98543640000001,65
65,65,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,"DUMBO/Vinegar Hill, Brooklyn",40.70306,-73.98472,34
66,66,67,Brooklyn,Dyker Heights,Boro Zone,"Dyker Heights, Brooklyn",40.6214932,-74.00958390000001,35
67,67,68,Manhattan,East Chelsea,Yellow Zone,"East Chelsea, Manhattan",40.74649,-74.00153,15
68,68,69,Bronx,East Concourse/Concourse Village,Boro Zone,"East Concourse/Concourse Village, Bronx",40.823609999999995,-73.92111,69
69,69,70,Queens,East Elmhurst,Boro Zone,"East Elmhurst, Queens",40.7612123,-73.86513570000001,48
70,70,71,Brooklyn,East Flatbush/Farragut,Boro Zone,"East Flatbush/Farragut, Brooklyn",40.63439,-73.95026999999999,71
71,71,72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,"East Flatbush/Remsen Village, Brooklyn",40.63439,-73.95026999999999,72
72,72,73,Queens,East Flushing,Boro Zone,"East Flushing, Queens",40.76538,-73.81736,72
73,73,74,Manhattan,East Harlem North,Boro Zone,"East Harlem North, Manhattan",40.7947222,-73.9424999,10
74,74,75,Manhattan,East Harlem South,Boro Zone,"East Harlem South, Manhattan",40.783429999999996,-73.96625,42
75,75,76,Brooklyn,East New York,Boro Zone,"East New York, Brooklyn",40.6667702,-73.8823582,49
76,76,77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,"East New York/Pennsylvania Avenue, Brooklyn",40.63439,-73.95026999999999,64
77,77,78,Bronx,East Tremont,Boro Zone,"East Tremont, Bronx",40.845378100000005,-73.8909692,72
78,78,79,Manhattan,East Village,Yellow Zone,"East Village, Manhattan",40.7292688,-73.98736120000001,60
79,79,80,Brooklyn,East Williamsburg,Boro Zone,"East Williamsburg, Brooklyn",40.71427,-73.95347,5
80,80,81,Bronx,Eastchester,Boro Zone,"Eastchester, Bronx",40.8884329,-73.82818940000001,18
81,81,82,Queens,Elmhurst,Boro Zone,"Elmhurst, Queens",40.7365804,-73.8783931,52
82,82,83,Queens,Elmhurst/Maspeth,Boro Zone,"Elmhurst/Maspeth, Queens",40.725625,-73.89292590000001,83
83,83,84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,"Eltingville/Annadale/Prince's Bay, Staten Island",40.52297479999999,-74.1993862,83
84,84,85,Brooklyn,Erasmus,Boro Zone,"Erasmus, Brooklyn",40.649562,-73.95482390000001,85
85,85,86,Queens,Far Rockaway,Boro Zone,"Far Rockaway, Queens",40.605382500000005,-73.7551325,62
86,86,87,Manhattan,Financial District North,Yellow Zone,"Financial District North, Manhattan",40.783429999999996,-73.96625,87
87,87,88,Manhattan,Financial District South,Yellow Zone,"Financial District South, Manhattan",40.783429999999996,-73.96625,76
88,88,89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,"Flatbush/Ditmas Park, Brooklyn",40.640145399999994,-73.9608796,49
89,89,90,Manhattan,Flatiron,Yellow Zone,"Flatiron, Manhattan",40.741086100000004,-73.98962970000001,72
90,90,91,Brooklyn,Flatlands,Boro Zone,"Flatlands, Brooklyn",40.621215500000005,-73.9348596,5
91,91,92,Queens,Flushing,Boro Zone,"Flushing, Queens",40.7654301,-73.817429,92
92,92,93,Queens,Flushing Meadows-Corona Park,Boro Zone,"Flushing Meadows-Corona Park, Queens",40.7407703,-73.8433776,74
93,93,94,Bronx,Fordham South,Boro Zone,"Fordham South, Bronx",40.82732,-73.92357,57
94,94,95,Queens,Forest Hills,Boro Zone,"Forest Hills, Queens",40.7232458,-73.8466131,48
95,95,96,Queens,Forest Park/Highland Park,Boro Zone,"Forest Park/Highland Park, Queens",40.68649,-73.88986,96
96,96,97,Brooklyn,Fort Greene,Boro Zone,"Fort Greene, Brooklyn",40.690923100000006,-73.97435829999999,64
97,97,98,Queens,Fresh Meadows,Boro Zone,"Fresh Meadows, Queens",40.7348246,-73.7934667,50
98,98,99,Staten Island,Freshkills Park,Boro Zone,"Freshkills Park, Staten Island",40.5791894,-74.1799254,99
99,99,100,Manhattan,Garment District,Yellow Zone,"Garment District, Manhattan",40.7538628,-73.9893566,100
100,100,101,Queens,Glen Oaks,Boro Zone,"Glen Oaks, Queens",40.7470463,-73.71151979999999,69
101,101,102,Queens,Glendale,Boro Zone,"Glendale, Queens",40.7014917,-73.8868027,20
102,102,103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"Governor's Island/Ellis Island/Liberty Island, Manhattan",40.6901,-74.04514,103
103,103,104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"Governor's Island/Ellis Island/Liberty Island, Manhattan",40.6901,-74.04514,104
104,104,105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,"Governor's Island/Ellis Island/Liberty Island, Manhattan",40.6901,-74.04514,104
105,105,106,Brooklyn,Gowanus,Boro Zone,"Gowanus, Brooklyn",40.6791695,-73.988504,104
106,106,107,Manhattan,Gramercy,Yellow Zone,"Gramercy, Manhattan",40.737930299999995,-73.9859249,41
107,107,108,Brooklyn,Gravesend,Boro Zone,"Gravesend, Brooklyn",40.59760479999999,-73.9651382,91
108,108,109,Staten Island,Great Kills,Boro Zone,"Great Kills, Staten Island",40.5542718,-74.1515317,109
109,109,110,Staten Island,Great Kills Park,Boro Zone,"Great Kills Park, Staten Island",40.5470858,-74.12769809999999,110
110,110,111,Brooklyn,Green-Wood Cemetery,Boro Zone,"Green-Wood Cemetery, Brooklyn",40.6522119,-73.99100059999999,111
111,111,112,Brooklyn,Greenpoint,Boro Zone,"Greenpoint, Brooklyn",40.723713399999994,-73.95097129999999,112
112,112,113,Manhattan,Greenwich Village North,Yellow Zone,"Greenwich Village North, Manhattan",40.7335844,-74.0028171,18
113,113,114,Manhattan,Greenwich Village South,Yellow Zone,"Greenwich Village South, Manhattan",40.783429999999996,-73.96625,114
114,114,115,Staten Island,Grymes Hill/Clifton,Boro Zone,"Grymes Hill/Clifton, Staten Island",40.6201,-74.07709,89
115,115,116,Manhattan,Hamilton Heights,Boro Zone,"Hamilton Heights, Manhattan",40.8241451,-73.9500617,116
116,116,117,Queens,Hammels/Arverne,Boro Zone,"Hammels/Arverne, Queens",40.5913241,-73.8079741,117
117,117,118,Staten Island,Heartland Village/Todt Hill,Boro Zone,"Heartland Village/Todt Hill, Staten Island",40.588333299999995,-74.1577777,118
118,118,119,Bronx,Highbridge,Boro Zone,"Highbridge, Bronx",40.836532399999996,-73.92959549999999,119
119,119,120,Manhattan,Highbridge Park,Boro Zone,"Highbridge Park, Manhattan",40.84606420000001,-73.9297058,48
120,120,121,Queens,Hillcrest/Pomonok,Boro Zone,"Hillcrest/Pomonok, Queens",40.65749,-73.83875,48
121,121,122,Queens,Hollis,Boro Zone,"Hollis, Queens",40.7134361,-73.7670771,28
122,122,123,Brooklyn,Homecrest,Boro Zone,"Homecrest, Brooklyn",40.6014527,-73.95718409999999,123
123,123,124,Queens,Howard Beach,Boro Zone,"Howard Beach, Queens",40.6578815,-73.8362458,109
124,124,125,Manhattan,Hudson Sq,Yellow Zone,"Hudson Sq, Manhattan",40.7264977,-74.01519909999999,11
125,125,126,Bronx,Hunts Point,Boro Zone,"Hunts Point, Bronx",40.8126008,-73.88402459999999,114
126,126,127,Manhattan,Inwood,Boro Zone,"Inwood, Manhattan",40.8656555,-73.92680340000001,127
127,127,128,Manhattan,Inwood Hill Park,Boro Zone,"Inwood Hill Park, Manhattan",40.87227360000001,-73.925427,128
128,128,129,Queens,Jackson Heights,Boro Zone,"Jackson Heights, Queens",40.755656099999996,-73.88577540000001,128
129,129,130,Queens,Jamaica,Boro Zone,"Jamaica, Queens",40.6914852,-73.805677,71
130,130,131,Queens,Jamaica Estates,Boro Zone,"Jamaica Estates, Queens",17.991979999999998,-76.9817245,131
131,131,132,Queens,JFK Airport,Airports,"JFK Airport, Queens",40.642947899999996,-73.7793733,132
132,132,133,Brooklyn,Kensington,Boro Zone,"Kensington, Brooklyn",40.6462149,-73.9706939,133
133,133,134,Queens,Kew Gardens,Boro Zone,"Kew Gardens, Queens",40.7139415,-73.8307419,90
134,134,135,Queens,Kew Gardens Hills,Boro Zone,"Kew Gardens Hills, Queens",40.715948100000006,-73.8332318,135
135,135,136,Bronx,Kingsbridge Heights,Boro Zone,"Kingsbridge Heights, Bronx",40.872570200000006,-73.9026618,135
136,136,137,Manhattan,Kips Bay,Yellow Zone,"Kips Bay, Manhattan",40.7395463,-73.97708309999999,128
137,137,138,Queens,LaGuardia Airport,Airports,"LaGuardia Airport, Queens",40.775501299999995,-73.8730604,91
138,138,139,Queens,Laurelton,Boro Zone,"Laurelton, Queens",40.668518,-73.75184329999999,71
139,139,140,Manhattan,Lenox Hill East,Yellow Zone,"Lenox Hill East, Manhattan",40.783429999999996,-73.96625,140
140,140,141,Manhattan,Lenox Hill West,Yellow Zone,"Lenox Hill West, Manhattan",40.783429999999996,-73.96625,89
141,141,142,Manhattan,Lincoln Square East,Yellow Zone,"Lincoln Square East, Manhattan",40.783429999999996,-73.96625,141
142,142,143,Manhattan,Lincoln Square West,Yellow Zone,"Lincoln Square West, Manhattan",40.783429999999996,-73.96625,89
143,143,144,Manhattan,Little Italy/NoLiTa,Yellow Zone,"Little Italy/NoLiTa, Manhattan",40.72296,-73.99555,143
144,144,145,Queens,Long Island City/Hunters Point,Boro Zone,"Long Island City/Hunters Point, Queens",40.73927,-73.96236,46
145,145,146,Queens,Long Island City/Queens Plaza,Boro Zone,"Long Island City/Queens Plaza, Queens",40.65749,-73.83875,146
146,146,147,Bronx,Longwood,Boro Zone,"Longwood, Bronx",40.8173229,-73.89930279999999,11
147,147,148,Manhattan,Lower East Side,Yellow Zone,"Lower East Side, Manhattan",40.7159357,-73.9868056,127
148,148,149,Brooklyn,Madison,Boro Zone,"Madison, Brooklyn",30.459806800000003,-83.4138977,46
149,149,150,Brooklyn,Manhattan Beach,Boro Zone,"Manhattan Beach, Brooklyn",40.57667360000001,-73.9410672,150
150,150,151,Manhattan,Manhattan Valley,Yellow Zone,"Manhattan Valley, Manhattan",40.7902778,-73.9597221,30
151,151,152,Manhattan,Manhattanville,Boro Zone,"Manhattanville, Manhattan",40.8169444,-73.9558332,44
152,152,153,Manhattan,Marble Hill,Boro Zone,"Marble Hill, Manhattan",40.8747096,-73.9119788,117
153,153,154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,"Marine Park/Floyd Bennett Field, Brooklyn",40.58455,-73.88401999999999,137
154,154,155,Brooklyn,Marine Park/Mill Basin,Boro Zone,"Marine Park/Mill Basin, Brooklyn",40.610079999999996,-73.91109,155
